Date,X_1,X_2,S
2002-01-02,0.010469273292877331,-0.0013317224733954687,5182.155017454398
2002-01-03,0.009438515637539873,-0.0036043055085045023,5284.874094774804
2002-01-04,0.00491377540661523,0.0020167740967163396,5333.567416025605
2002-01-07,0.007995520602189667,-0.00021585516964886889,5246.811750781
2002-01-08,0.007220848080420545,-5.287384436621156e-05,5250.957612507697
2002-01-09,0.007731623888905258,-0.0008654903624562648,5302.997788926303
2002-01-10,0.007478637681385432,0.0016027541501377853,5242.708930893197
2002-01-11,0.008252730936322145,-0.0002812475337992133,5224.523942202302
2002-01-14,0.010499898909927351,0.0010927243390246174,5079.9658417847
2002-01-15,0.010780216792454972,0.0012384368375000297,5076.155291931904
2002-01-16,0.012210014162124892,0.0023546459124990623,4998.097401960902
2002-01-17,0.008131081436413038,0.0031254859802542813,5147.728582693503
2002-01-18,0.007667725313282801,0.0036070524259100506,5136.5146652279
2002-01-21,0.010060203573036898,0.0024206207467440937,5083.8679829175035
2002-01-22,0.008031486810349726,0.0032984625821392685,5059.787946470503
2002-01-23,0.00652789688348605,0.001072791854251518,5177.441088738801
2002-01-24,0.004164214109974104,-0.00046845962925918215,5184.884391291103
2002-01-25,0.0035569322104966974,-0.0012923046646055125,5171.037671762497
2002-01-28,0.002175458801608107,0.0024946427018528936,5173.439022071298
2002-01-29,0.0035841123884823856,0.0023351621255269218,5098.719660041603
2002-01-30,0.007114583930161518,-0.0014638525812520017,5066.310050737799
2002-01-31,0.004246398794572243,9.291846671310385e-05,5121.875945235802
2002-02-01,0.003205393533434731,0.0009186374215876273,5111.298217305197
2002-02-04,0.007107499528646833,-0.0013197595565102962,4998.397606369799
2002-02-05,0.00592186510644054,0.0033297561085777437,4950.511546960198
2002-02-06,0.009277473621746144,0.0030110017186731138,4817.789342168601
2002-02-07,0.007752834968734929,0.005503921310495427,4876.131278089405
2002-02-08,0.005267640908669964,0.0070320564350511705,4849.408632089104
2002-02-11,0.00702408446802313,0.0038941217246460757,4953.746767559401
2002-02-12,0.005422749017414484,0.006798557333981025,4898.367814636904
2002-02-13,0.005994000451964191,0.005931156149104986,4949.082204093001
2002-02-14,0.00505915367441677,0.006465203945778842,4987.611407629799
2002-02-15,0.005285062046050195,0.0048454778396797744,4876.108054020398
2002-02-18,0.0037524091982720723,0.008069655900756277,4885.282817334296
