epoch,loss
0,5724951.52831257
1,5723647.188278596
2,5722142.869195923
3,5721225.348810872
4,5721171.545866365
5,5720836.702718006
6,5720381.799830125
7,5720059.967440544
8,5719782.112400906
9,5719561.795300113
10,5719440.02774632
11,5719447.772933182
12,5719490.788505096
13,5719471.239524349
14,5719411.810588902
15,5719299.806342016
16,5719203.409399774
17,5719115.214326161
18,5719051.732446206
19,5719013.133352208
20,5718990.225934315
21,5718988.535107587
22,5719002.321347678
23,5718998.483295583
24,5718986.700736127
25,5718953.678652322
26,5718926.132219706
27,5718899.115798415
28,5718860.562287656
29,5718826.116364666
30,5718815.235560589
31,5718797.457248018
32,5718797.654303511
33,5718785.930351076
34,5718788.821064552
35,5718778.146092866
36,5718758.272933182
37,5718751.640713477
38,5718727.593148358
39,5718716.70781427
40,5718710.129388449
41,5718696.3097395245
42,5718684.2369762175
43,5718673.66421291
44,5718669.983012457
45,5718662.832106455
46,5718656.434314836
47,5718650.831823329
48,5718643.518686296
49,5718637.566817667
50,5718631.837768969
51,5718625.909966025
52,5718620.855605889
53,5718612.463759909
54,5718607.258776897
55,5718599.740373726
56,5718591.631653454
57,5718586.818233295
58,5718582.631370328
59,5718576.667327293
60,5718572.546715742
61,5718568.468289921
62,5718563.197055493
63,5718557.618629672
64,5718553.6064552665
65,5718547.425537939
66,5718544.437429219
67,5718539.949320498
68,5718532.2080973955
69,5718530.147791619
70,5718526.24405436
71,5718518.761891279
72,5718517.1353340885
73,5718513.231596829
74,5718508.243488109
75,5718504.665062288
76,5718502.797565119
77,5718498.893827859
78,5718493.03822197
79,5718489.351359003
80,5718488.00792752
81,5718484.387315968
82,5718479.399207248
83,5718475.4292185735
84,5718474.12797282
85,5718470.441109853
86,5718465.061438278
87,5718461.483012457
88,5718460.181766705
89,5718456.603340884
90,5718451.024915062
91,5718447.338052095
92,5718446.036806342
93,5718442.349943375
94,5718437.2533975085
95,5718433.566534542
96,5718432.265288788
97,5718431.072480181
98,5718427.49405436
99,5718422.981879955
100,5718419.011891279
101,5718417.927519819
102,5718416.626274066
103,5718412.939411098
104,5718408.168176671
105,5718405.13193658
106,5718403.72225368
107,5718400.035390713
108,5718399.059456399
109,5718394.005096262
110,5718385.306342016
111,5718384.113533408
112,5718382.920724802
113,5718379.342298981
114,5718375.004813137
115,5718371.534824462
116,5718370.233578709
117,5718369.149207248
118,5718365.396092866
119,5718360.8839184595
120,5718359.799546999
121,5718355.739241223
122,5718354.546432616
123,5718353.462061156
124,5718349.99207248
125,5718345.7630237825
126,5718342.0099094
127,5718340.817100793
128,5718340.05804077
129,5718336.196489241
130,5718335.3289920725
131,5718330.557757644
132,5718327.629954699
133,5718326.654020385
134,5718325.720271801
135,5718307.810872027
136,5718303.039637599
137,5718301.8468289925
138,5718299.027463194
139,5718297.943091732
140,5718296.858720272
141,5718293.822480181
142,5718292.954983013
143,5718288.442808607
144,5718284.75594564
145,5718283.496885617
146,5718283.063137033
147,5718282.087202718
148,5718277.484711212
149,5718273.255662514
150,5718272.171291053
151,5718268.701302378
152,5718267.87599094
153,5718266.900056625
154,5718263.97225368
155,5718258.917893545
156,5718257.833522084
157,5718255.014156286
158,5718254.146659116
159,5718253.712910532
160,5718250.242921857
161,5718243.387599094
162,5718238.875424689
163,5718237.899490374
164,5718234.429501698
165,5718233.995753114
166,5718233.128255946
167,5718230.200453001
168,5718229.2245186865
169,5718224.995469988
170,5718221.5254813135
171,5718220.441109853
172,5718219.615798415
173,5718218.639864099
174,5718215.820498302
175,5718214.669875424
176,5718209.308323896
177,5718206.055209513
178,5718204.970838052
179,5718204.320215176
180,5718203.235843714
181,5718199.982729332
182,5718195.753680634
183,5718194.886183466
184,5718191.783691959
185,5718190.807757644
186,5718190.090883352
187,5718189.114949037
188,5718186.187146093
189,5718185.211211778
190,5718180.98216308
191,5718177.620611551
192,5718176.644677237
193,5718176.210928652
194,5718175.126557192
195,5718172.307191393
196,5718171.156568516
197,5718166.752831257
198,5718165.776896942
199,5718162.849093998
200,5718161.981596829
201,5718161.439411098
202,5718158.077859569
203,5718157.101925255
204,5718152.981313704
205,5718152.113816534
206,5718149.18601359
207,5718147.926953567
208,5718147.384767837
209,5718146.2341449605
210,5718143.306342016
211,5718142.4388448475
212,5718138.318233295
213,5718137.342298981
214,5718133.980747452
215,5718133.546998868
216,5718131.980747452
217,5718128.727633069
218,5718127.534824462
219,5718123.41421291
220,5718122.546715742
221,5718119.7273499435
222,5718118.576727067
223,5718118.142978483
224,5718117.2754813135
225,5718114.347678369
226,5718113.197055493
227,5718109.076443941
228,5718107.99207248
229,5718105.064269535
230,5718104.196772367
231,5718103.7630237825
232,5718102.895526614
233,5718099.9677236695
234,5718099.100226501
235,5718095.088052095
236,5718094.220554926
237,5718091.292751982
238,5718090.1421291055
239,5718089.599943375
240,5718083.06993205
241,5718080.1421291055
242,5718079.274631937
243,5718075.154020385
244,5718074.17808607
245,5718071.467157418
246,5718070.599660249
247,5718070.165911665
248,5718069.081540204
249,5718066.370611551
250,5718065.394677237
251,5718061.274065685
252,5718060.406568516
253,5718057.4787655715
254,5718056.611268403
255,5718056.177519819
256,5718055.31002265
257,5718052.207531144
