epoch,loss
0,6839409.182846938
1,6839160.286294001
2,6838861.611219901
3,6838608.254034789
4,6838429.685386775
5,6838291.978801968
6,6838196.373420039
7,6838122.562666025
8,6838058.164866266
9,6838001.69498444
10,6837940.771006856
11,6837884.802891815
12,6837836.26572742
13,6837781.289826119
14,6837721.855509742
15,6837681.984500033
16,6837646.570706099
17,6837614.128698749
18,6837582.429854009
19,6837540.825266898
20,6837515.813033869
21,6837497.239489499
22,6837468.26462776
23,6837457.863266739
24,6837434.336630622
25,6837412.048277207
26,6837402.88522416
27,6837391.9885776285
28,6837369.452388466
29,6837360.041407773
30,6837339.238570857
31,6837318.930991881
32,6837312.986938537
33,6837294.412870334
34,6837297.136458164
35,6837277.8194203405
36,6837272.86590815
37,6837264.94062546
38,6837244.385343993
39,6837236.212450712
40,6837222.096050896
41,6837219.371461351
42,6837212.43688983
43,6837204.511747288
44,6837201.787217479
45,6837188.166222643
46,6837180.241130645
47,6837172.8113471335
48,6837158.942746303
49,6837151.512978873
50,6837153.989110046
51,6837146.311709052
52,6837128.480762105
53,6837138.881619971
54,6837131.45187322
55,6837118.573891657
56,6837111.391801446
57,6837114.115612134
58,6837107.18118076
59,6837094.303217578
60,6837087.368797692
61,6837085.139682054
62,6837083.158220659
63,6837075.976169505
64,6837063.593526295
65,6837057.64972338
66,6837060.621227369
67,6837053.191547245
68,6837051.210108825
69,6837038.827490888
70,6837033.131349107
71,6837030.902284015
72,6837041.550878834
73,6837034.368871333
74,6837022.729211529
75,6837020.500157923
76,6837014.556396363
77,6837014.060881102
78,6837011.831838985
79,6837009.6027968675
80,6836997.715519581
81,6836995.7341340035
82,6836990.038042769
83,6836988.304311434
84,6836987.313526745
85,6836981.617440105
86,6836979.883717961
87,6836967.748811704
88,6836965.767446804
89,6836960.56666865
90,6836958.585308345
91,6836956.603952635
92,6836951.155534023
93,6836949.421834854
94,6836937.53459203
95,6836935.800890563
96,6836930.847780436
97,6836929.11408816
98,6836928.370980688
99,6836926.884938059
100,6836921.188890477
101,6836919.20756004
102,6836918.712116001
103,6836907.07253661
104,6836910.044155474
105,6836904.34811938
106,6836902.614443185
107,6836902.119001444
108,6836900.632977195
109,6836894.936947993
110,6836893.2032786915
111,6836892.707848438
112,6836881.81122718
113,6836880.077562473
114,6836874.629185216
115,6836872.895527402
116,6836872.152454393
117,6836871.65703333
118,6836869.923373218
119,6836864.722657097
120,6836862.988999282
121,6836862.493585112
122,6836850.60638594
123,6836849.120382369
124,6836843.424373844
125,6836842.928959673
126,6836841.195313347
127,6836853.329916332
128,6836851.5962746
129,6836851.348512375
130,6836845.900158092
131,6836844.166514063
132,6836832.279330974
133,6836831.783925994
134,6836830.297936208
135,6836824.601939171
136,6836824.106536487
137,6836822.868198646
138,6836822.372793665
139,6836821.877397874
140,6836820.391410385
141,6836819.8960145945
142,6836814.447674098
143,6836812.961688907
144,6836812.466293116
145,6836800.826768865
146,6836799.340785971
147,6836798.597749722
148,6836793.397058873
149,6836792.901667678
150,6836791.1680466235
151,6836790.672655428
152,6836790.4249138795
153,6836788.938937878
154,6836789.4341406785
155,6836783.985807074
156,6836782.25218602
157,6836782.004446769
158,6836770.364936303
159,6836769.869556596
160,6836768.383585189
161,6836767.888198588
162,6836762.687523821
163,6836760.953902767
164,6836760.458525357
165,6836759.963145648
166,6836759.963060641
167,6836758.229448777
168,6836757.981716419
169,6836752.533394302
170,6836752.285664242
171,6836750.799702025
172,6836750.056679562
173,6836738.912470689
174,6836738.4170955755
175,6836736.931131061
176,6836736.435762841
177,6836731.235090372
178,6836730.739719854
179,6836729.253757637
180,6836729.006036767
181,6836728.510666248
182,6836728.0152980285
183,6836726.776985459
184,6836726.281619537
185,6836721.080951663
186,6836720.585583442
187,6836719.099628118
188,6836718.604264492
189,6836707.212415162
190,6836706.717049238
191,6836705.4787435625
192,6836704.983382234
193,6836699.53506701
194,6836699.535000382
195,6836699.039636756
196,6836697.553688325
197,6836697.305976645
198,6836696.810615317
199,6836696.315253989
200,6836695.07695061
201,6836694.581593877
202,6836694.581527249
203,6836689.133223512
204,6836688.637862184
205,6836687.399561103
206,6836686.904208965
207,6836675.512366527
208,6836675.017009794
209,6836675.016952356
210,6836673.283358872
211,6836673.035651786
212,6836667.834997698
213,6836667.339643262
214,6836665.853701724
215,6836665.358349585
216,6836665.110644797
217,6836664.862937712
218,6836664.367587871
219,6836663.129295981
220,6836662.633946139
221,6836662.633886404
222,6836657.18558956
223,6836656.937891665
224,6836655.451950126
225,6836655.204249933
226,6836654.95654974
227,6836643.564718789
228,6836643.069368949
229,6836641.831081653
230,6836641.583383758
231,6836641.0880385125
232,6836634.896801915
233,6836634.40145667
234,6836635.391993227
235,6836632.915473776
236,6836632.667780475
237,6836632.17243523
238,6836632.172384684
239,6836631.677041736
240,6836630.438759035
241,6836629.943416087
242,6836629.943370137
243,6836624.742727536
244,6836624.24739148
245,6836622.761459132
246,6836622.761415479
247,6836622.266074828
248,6836622.266028878
249,6836610.626557469
250,6836610.378868764
251,6836609.140588361
252,6836608.892895061
253,6836608.149911655
254,6836602.949275946
255,6836602.949232293
256,6836602.453896238
257,6836601.215618132
258,6836600.967936319
259,6836600.720247613
260,6836599.977264208
261,6836600.224872501
262,6836599.481891392
263,6836598.243613286
264,6836598.243574228
265,6836597.7482427675
266,6836592.547611654
267,6836592.299929841
268,6836592.052241136
269,6836590.5663225725
270,6836590.566283515
271,6836590.070954352
272,6836578.679139484
273,6836578.6791027235
274,6836578.183771263
275,6836578.1837368
276,6836576.697820534
277,6836576.450138722
278,6836576.202456908
279,6836571.00183039
280,6836571.0017936295
281,6836570.258819413
282,6836569.020550498
283,6836568.77287328
284,6836555.895178906
285,6836555.895146741
286,6836555.399822173
287,6836555.152142658
288,6836554.904463142
289,6836553.666198821
290,6836553.1708765505
291,6836553.170844385
292,6836547.970217867
293,6836547.722542946
294,6836547.474863431
295,6836547.227188511
296,6836545.988926487
297,6836545.74124927
298,6836545.493572052
299,6836534.101766374
300,6836533.854093751
301,6836533.606421128
302,6836533.606393558
303,6836532.1204841845
304,6836531.872806966
305,6836531.377489291
306,6836526.176867368
307,6836526.176842094
308,6836525.681524419
309,6836525.433854094
310,6836524.195592071
311,6836523.700274395
312,6836523.700249122
313,6836523.452578797
314,6836523.2049084725
315,6836523.204883199
316,6836522.709565524
317,6836521.471305798
318,6836521.471282823
319,6836520.975969743
320,6836520.97594447
321,6836515.775331737
322,6836514.537069713
323,6836514.28940628
324,6836514.041731359
325,6836512.803478526
326,6836512.555810498
327,6836512.308140174
328,6836512.060472146
329,6836500.66867336
330,6836500.4210076295
331,6836500.173341899
332,6836500.173321222
333,6836498.687418741
334,6836498.192103363
335,6836498.192089578
336,6836492.743827197
337,6836492.743808816
338,6836492.248495736
339,6836492.248477356
340,6836491.01022682
341,6836491.010210738
342,6836490.514897657
343,6836490.514879277
344,6836490.267218142
345,6836490.0195524115
346,6836490.019534031
347,6836489.524225546
348,6836489.524207165
349,6836483.333007329
350,6836483.332991246
351,6836482.837685058
352,6836482.590021625
353,6836477.38941119
354,6836477.141750054
355,6836476.894088919
356,6836476.646425487
357,6836475.408174951
358,6836475.408158868
359,6836475.160497732
360,6836474.912836597
361,6836463.521044704
362,6836463.521033216
363,6836463.273372081
364,6836463.025710946
365,6836463.025694864
366,6836461.539801572
367,6836461.292140437
368,6836460.796834249
369,6836460.796822762
370,6836455.596216921
371,6836455.596205433
372,6836454.8532473
373,6836454.853235813
374,6836453.6149875745
375,6836453.614976087
376,6836453.119669898
377,6836453.119663006
378,6836452.129062118
379,6836451.63375593
380,6836451.633742145
381,6836451.386085604
382,6836451.138429064
383,6836449.900178528
384,6836449.900169338
385,6836449.404863151
386,6836449.4048539605
387,6836449.40484477
388,6836443.956596174
389,6836443.708937337
390,6836443.461280797
391,6836443.213624256
392,6836441.727730965
393,6836441.727721775
394,6836441.727712585
395,6836441.232408695
396,6836441.232397207
397,6836429.840612207
398,6836429.840600719
399,6836429.592946476
400,6836429.345292234
401,6836429.345280746
402,6836428.107037103
403,6836427.859380563
404,6836427.36407897
405,6836427.116427024
406,6836421.915818886
407,6836421.66816694
408,6836421.668160048
409,6836421.172856158
